"","date","tcmnom_y10","tcmnom_y5","tcmnom_y3","tcmnom_y1","pi.realized","r_y10","r_y5","r_y3","r_y1","r_y10.ar1.roll","r_y10.ses.roll","r_y5.ar1.roll","r_y5.ses.roll","r_y3.ar1.roll","r_y3.ses.roll","r_y1.ar1.roll","r_y1.ses.roll"
"360",1954-12-31,2.51,2.16,1.81,1.21,0.37,2.14,1.79,1.44,0.84,0.49,0.88,0.14,0.53,-0.21,0.18,-0.81,-0.42
"372",1955-12-31,2.96,2.93,2.88,2.73,2.79,0.17,0.14,0.0899999999999999,-0.0600000000000001,1.27,1.6,1.24,1.57,1.19,1.52,1.04,1.37
"384",1956-12-31,3.59,3.7,3.76,3.68,2.99,0.6,0.71,0.77,0.69,1.75,1.93,1.86,2.04,1.92,2.1,1.84,2.02
"396",1957-12-31,3.21,3.08,3.11,3.18,1.74,1.47,1.34,1.37,1.44,1.23,1.28,1.1,1.15,1.13,1.18,1.2,1.25
"408",1958-12-31,3.86,3.82,3.72,3.29,1.51,2.35,2.31,2.21,1.78,1.93,1.97,1.89,1.93,1.79,1.83,1.36,1.4
"420",1959-12-31,4.69,5.01,5.12,5.14,1.35,3.34,3.66,3.77,3.79,2.79,2.87,3.11,3.19,3.22,3.3,3.24,3.32
"432",1960-12-31,3.84,3.67,3.42,2.86,0.67,3.17,3,2.75,2.19,1.99,2.12,1.82,1.95,1.57,1.7,1.01,1.14
"444",1961-12-31,4.06,3.91,3.72,3.18,1.23,2.83,2.68,2.49,1.95,2.32,2.55,2.17,2.4,1.98,2.21,1.44,1.67
"456",1962-12-31,3.86,3.56,3.37,3.01,1.63,2.23,1.93,1.74,1.38,2.14,2.41,1.84,2.11,1.65,1.92,1.29,1.56
"468",1963-12-31,4.13,4.04,4.01,3.81,1.19,2.94,2.85,2.82,2.62,2.4,2.64,2.31,2.55,2.28,2.52,2.08,2.32
"480",1964-12-31,4.18,4.09,4.08,4.02,1.9,2.28,2.19,2.18,2.12,2.5,2.75,2.41,2.66,2.4,2.65,2.34,2.59
"492",1965-12-31,4.62,4.72,4.79,4.72,3.3,1.32,1.42,1.49,1.42,2.9,3.1,3,3.2,3.07,3.27,3,3.2
"504",1966-12-31,4.84,5,5.19,5.2,3.23,1.61,1.77,1.96,1.97,2.98,2.96,3.14,3.12,3.33,3.31,3.34,3.32
"516",1967-12-31,5.7,5.75,5.71,5.71,4.6,1.1,1.15,1.11,1.11,3.72,3.55,3.77,3.6,3.73,3.56,3.73,3.56
"528",1968-12-31,6.03,6.12,6.16,6.19,5.73,0.3,0.39,0.43,0.46,3.67,3.39,3.76,3.48,3.8,3.52,3.83,3.55
"540",1969-12-31,7.65,7.96,8.1,8.17,5.42,2.23,2.54,2.68,2.75,4.55,4.39,4.86,4.7,5,4.84,5.07,4.91
"552",1970-12-31,6.39,5.95,5.75,5,3.21,3.18,2.74,2.54,1.79,2.96,2.7,2.52,2.26,2.32,2.06,1.57,1.31
"564",1971-12-31,5.93,5.69,5.27,4.6,3.35,2.58,2.34,1.92,1.25,3.28,2.34,3.04,2.1,2.62,1.68,1.95,1.01
"576",1972-12-31,6.36,6.16,6.01,5.52,8.56,-2.2,-2.4,-2.55,-3.04,3.63,2.81,3.43,2.61,3.28,2.46,2.79,1.97
"588",1973-12-31,6.74,6.8,6.81,7.27,11.42,-4.68,-4.62,-4.61,-4.15,1.68,2.19,1.74,2.25,1.75,2.26,2.21,2.72
"600",1974-12-31,7.43,7.31,7.24,7.31,6.89,0.54,0.42,0.350000000000001,0.42,-1.18,1.51,-1.3,1.39,-1.37,1.32,-1.3,1.39
"612",1975-12-31,8,7.76,7.43,6.6,4.91,3.09,2.85,2.52,1.69,2.62,1.88,2.38,1.64,2.05,1.31,1.22,0.48
"624",1976-12-31,6.87,6.1,5.68,4.89,6.46,0.41,-0.36,-0.78,-1.57,2.68,1,1.91,0.23,1.49,-0.19,0.7,-0.98
"636",1977-12-31,7.69,7.48,7.3,6.96,8.61,-0.919999999999999,-1.13,-1.31,-1.65,2.48,1.7,2.27,1.49,2.09,1.31,1.75,0.97
"648",1978-12-31,9.01,9.08,9.33,10.3,12.45,-3.44,-3.37,-3.12,-2.15,2.2,2.49,2.27,2.56,2.52,2.81,3.49,3.78
"660",1979-12-31,10.39,10.42,10.71,11.98,11.65,-1.26,-1.23,-0.94,0.33,0.15,2.69,0.18,2.72,0.47,3.01,1.74,4.28
"672",1980-12-31,12.84,13.25,13.65,14.88,8.54,4.3,4.71,5.11,6.34,2.9,4.35,3.31,4.76,3.71,5.16,4.94,6.39
"684",1981-12-31,13.72,13.6,13.66,12.85,3.75,9.97,9.85,9.91,9.1,6.29,5.22,6.17,5.1,6.23,5.16,5.42,4.35
"696",1982-12-31,10.54,10.22,9.88,8.91,3.72,6.82,6.5,6.16,5.19,6.72,2.99,6.4,2.67,6.06,2.33,5.09,1.36
"708",1983-12-31,11.83,11.54,11.13,10.11,3.96,7.87,7.58,7.17,6.15,8.04,5.05,7.75,4.76,7.34,4.35,6.32,3.33
"720",1984-12-31,11.5,11.07,10.56,9.33,3.72,7.78,7.35,6.84,5.61,7.53,5.28,7.1,4.85,6.59,4.34,5.36,3.11
"732",1985-12-31,9.26,8.73,8.4,7.67,1.18,8.08,7.55,7.22,6.49,5.47,3.54,4.94,3.01,4.61,2.68,3.88,1.95
"744",1986-12-31,7.11,6.67,6.43,5.87,4.24,2.87,2.43,2.19,1.63,5.17,2.3,4.73,1.86,4.49,1.62,3.93,1.06
"756",1987-12-31,8.99,8.45,8.13,7.17,4.32,4.67,4.13,3.81,2.85,4.84,4.29,4.3,3.75,3.98,3.43,3.02,2.47
"768",1988-12-31,9.11,9.09,9.11,8.99,4.54,4.57,4.55,4.57,4.45,4.9,4.49,4.88,4.47,4.9,4.49,4.78,4.37
"780",1989-12-31,7.84,7.75,7.77,7.72,6.07,1.77,1.68,1.7,1.65,3.47,3.23,3.38,3.14,3.4,3.16,3.35,3.11
"792",1990-12-31,8.08,7.73,7.47,7.05,2.94,5.14,4.79,4.53,4.11,2.61,3.18,2.26,2.83,2,2.57,1.58,2.15
"804",1991-12-31,7.09,6.19,5.39,4.38,2.92,4.17,3.27,2.47,1.46,3.84,2.58,2.94,1.68,2.14,0.88,1.13,-0.13
"816",1992-12-31,6.77,6.08,5.21,3.71,2.77,4,3.31,2.44,0.94,3.54,2.58,2.85,1.89,1.98,1.02,0.48,-0.48
"828",1993-12-31,5.77,5.15,4.54,3.61,2.56,3.21,2.59,1.98,1.05,2.65,1.86,2.03,1.24,1.42,0.63,0.49,-0.3
"840",1994-12-31,7.81,7.78,7.71,7.14,2.5,5.31,5.28,5.21,4.64,4.85,4.17,4.82,4.14,4.75,4.07,4.18,3.5
"852",1995-12-31,5.71,5.51,5.39,5.31,3.32,2.39,2.19,2.07,1.99,2.8,2.3,2.6,2.1,2.48,1.98,2.4,1.9
"864",1996-12-31,6.3,6.07,5.91,5.47,1.68,4.62,4.39,4.23,3.79,2.82,2.91,2.59,2.68,2.43,2.52,1.99,2.08
"876",1997-12-31,5.81,5.77,5.74,5.53,1.59,4.22,4.18,4.15,3.94,3.5,2.76,3.46,2.72,3.43,2.69,3.22,2.48
"888",1998-12-31,4.65,4.45,4.48,4.52,2.64,2.01,1.81,1.84,1.88,2.42,1.89,2.22,1.69,2.25,1.72,2.29,1.76
"900",1999-12-31,6.28,6.19,6.14,5.84,3.38,2.9,2.81,2.76,2.46,3.31,3.55,3.22,3.46,3.17,3.41,2.87,3.11
"912",2000-12-31,5.24,5.17,5.26,5.6,1.59,3.65,3.58,3.67,4.01,1.75,2.38,1.68,2.31,1.77,2.4,2.11,2.74
"924",2001-12-31,5.09,4.39,3.62,2.22,2.45,2.64,1.94,1.17,-0.23,2.88,2.48,2.18,1.78,1.41,1.01,0.01,-0.39
"936",2002-12-31,4.03,3.03,2.23,1.45,2.01,2.02,1.02,0.22,-0.56,1.21,1.45,0.21,0.45,-0.59,-0.35,-1.37,-1.13
"948",2003-12-31,4.27,3.27,2.44,1.31,3.29,0.98,-0.02,-0.85,-1.98,1.78,1.81,0.78,0.81,-0.05,-0.02,-1.18,-1.15
"960",2004-12-31,4.23,3.6,3.21,2.67,3.28,0.950000000000001,0.32,-0.0699999999999998,-0.61,0.83,1.6,0.2,0.97,-0.19,0.58,-0.73,0.04
"972",2005-12-31,4.47,4.39,4.39,4.35,2.49,1.98,1.9,1.9,1.86,1.08,1.71,1,1.63,1,1.63,0.96,1.59
"984",2006-12-31,4.56,4.53,4.58,4.94,4.03,0.529999999999999,0.5,0.55,0.91,1.73,1.85,1.7,1.82,1.75,1.87,2.11,2.23
"996",2007-12-31,4.1,3.49,3.13,3.26,-0.02,4.12,3.51,3.15,3.28,0.19,1.13,-0.42,0.52,-0.78,0.16,-0.65,0.29
"1008",2008-12-31,2.42,1.52,1.07,0.49,2.78,-0.36,-1.26,-1.71,-2.29,1.36,0.05,0.46,-0.85,0.01,-1.3,-0.57,-1.88
"1020",2009-12-31,3.59,2.34,1.38,0.37,1.43,2.16,0.91,-0.05,-1.06,0.56,1.14,-0.69,-0.11,-1.65,-1.07,-2.66,-2.08
"1032",2010-12-31,3.29,1.93,0.99,0.29,3.02,0.27,-1.09,-2.03,-2.73,1.2,1.04,-0.16,-0.32,-1.1,-1.26,-1.8,-1.96
"1044",2011-12-31,1.98,0.89,0.39,0.12,1.74,0.24,-0.85,-1.35,-1.62,-1.2,-0.42,-2.29,-1.51,-2.79,-2.01,-3.06,-2.28
"1056",2012-12-31,1.72,0.7,0.35,0.16,1.5,0.22,-0.8,-1.15,-1.34,-0.57,-0.55,-1.59,-1.57,-1.94,-1.92,-2.13,-2.11
"1068",2013-12-31,2.9,1.58,0.69,0.13,0.65,2.25,0.93,0.0399999999999999,-0.52,0.79,0.78,-0.53,-0.54,-1.42,-1.43,-1.98,-1.99
"1080",2014-12-31,2.21,1.64,1.06,0.21,0.64,1.57,1,0.42,-0.43,0.71,0.39,0.14,-0.18,-0.44,-0.76,-1.29,-1.61
"1092",2015-12-31,2.24,1.7,1.28,0.65,2.06,0.18,-0.36,-0.78,-1.41,0.77,0.65,0.23,0.11,-0.19,-0.31,-0.82,-0.94
"1104",2016-12-31,2.49,1.96,1.49,0.87,2.09,0.4,-0.13,-0.6,-1.22,0.03,0.81,-0.5,0.28,-0.97,-0.19,-1.59,-0.81
"1116",2017-12-31,2.4,2.18,1.96,1.7,1.92,0.48,0.26,0.04,-0.22,-0.07,0.64,-0.29,0.42,-0.51,0.2,-0.77,-0.06
